Product Name,Belt Type,Style,Type,Sub-Group,Pitch,Width,Technical Data Thickness Inches,Rod Type,Rod Diameter Inches,Rod Hinge,Idle Roller Minimum Inch,Accessories Standard,Accessories Saniclip,Installation flyer standard,Installation flyer special,Installation flyer sprockets,Producing Unit,Portfolio Manager
M1233 Flush Grid,M1233 Flush Grid,Flush Grid,Straight,"0.5"" M1200 Belt type (straight belts)","0.5""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Smallest possible width 83.4 mm (3.25"").",0.39,Snap Fit,0.2,Open hinge,0.7,"M1200 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M1200_Accessories_en.pdf"">PDF </a>","M1220 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M1220_Saniclip_2310_en.pdf"">PDF </a>","M12XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M12XX_en.pdf"">PDF </a>","M1200_Flights <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M1200_Flights_en.pdf"">PDF </a>",,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M1233 Flush Grid GripTop,M1233 GripTop,GripTop,Straight,"0.5"" M1200 Belt type (straight belts)","0.5""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Smallest possible width 83.4 mm (3.25"").",0.39,Snap Fit,0.2,Open hinge,0.7,"M1200 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M1200_Accessories_en.pdf"">PDF </a>",,"M12XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M12XX_en.pdf"">PDF </a>","M1200_GripTop <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M1200_GripTop_en.pdf"">PDF </a>",,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M1234 Nub Top Flush Grid,M1234 Nub Top,Nub Top,Straight,"0.5"" M1200 Belt type (straight belts)","0.5""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Smallest possible width 150 mm (6"").",0.45,Snap Fit,0.2,Open hinge,0.7,"M1200 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M1200_Accessories_en.pdf"">PDF </a>",,"M12XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M12XX_en.pdf"">PDF </a>","M1200_Flights <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M1200_Flights_en.pdf"">PDF </a>",,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M1220 HighGrip-L,M1220 HighGrip,HighGrip,Straight,"0.5"" M1200 Belt type (straight belts)","0.5""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Min. width: 200 mm (8"")",0.47,Snap Fit,0.2,Open hinge,0.7,"M1200 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M1200_Accessories_en.pdf"">PDF </a>",,"M12XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M12XX_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M1220 GripTop,M1220 GripTop,GripTop,Straight,"0.5"" M1200 Belt type (straight belts)","0.5""","Standard belt widths in increments of 50 mm (2""). Non-standard widths are offered in increments of 16.66 mm (0.66""). Min. width: 200 mm (8"")",0.49,Snap Fit,0.2,Open hinge,0.7,"M1200 <a href=""https://tdm.habasit.com/tds/PMB_Accessories/4178_M1200_Accessories_en.pdf"">PDF </a>",,"M12XX <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M12XX_en.pdf"">PDF </a>","M1200_GripTop <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M1200_GripTop_en.pdf"">PDF </a>",,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
RS511,RS511 Tight Turn Radius FG,Tight Turn Radius FG,Radius,"0.6"" RS Radius RS511/RS515","0.6""","Standard range of belt widths in increments of 1"" (25.4mm) starting from 12"" (304.8mm) Maximum recommended belt width is 36"" (914.4mm). Material selection may affect belt width — please contact your local partner for actual dimensions.",0.5,Tapered Pin,0.19,Closed hinge,0.75,,,"511_515 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/511_515_en.pdf"">PDF </a>",,,,
RS515,RS515 Tight Turn Radius CT,Tight Turn Radius CT,Radius,"0.6"" RS Radius RS511/RS515","0.6""","Standard range of belt widths in increments of 1"" (25.4mm) starting from 12"" (304.8mm) Maximum recommended belt width is 36"" (914.4mm). Material selection may affect belt width — please contact your local partner for actual dimensions.",0.53,Tapered Pin,0.19,Closed hinge,0.75,,,"511_515 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/511_515_en.pdf"">PDF </a>",,,,
106 10 Mesh Top,106 10 Mesh Top 10%,Mesh Top 10%,Straight,"0.8"" RS Straight 106","0.8""","Standard range of belt widths in increments of 0.75"" (19.1mm) starting from 3"" (76.2mm"").  Material selection may affect belt width — please contact your local partner for actual dimensions.",0.33,Snap Fit,0.19,Closed hinge,1.2,,,"106_208 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/106_208_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
106 22 Flush Grid,106 22 Flush Grid 22%,Flush Grid 22%,Straight,"0.8"" RS Straight 106","0.8""","Standard range of belt widths in increments of 0.75"" (19.1mm) starting from 3"" (76.2mm"").  Material selection may affect belt width — please contact your local partner for actual dimensions.",0.33,Snap Fit,0.19,Closed hinge,1.2,,,"106_208 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/106_208_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
106 FT,106 FT Flat Top,Flat Top,Straight,"0.8"" RS Straight 106","0.8""","Standard range of belt widths in increments of 0.75"" (19.1mm) starting from 3"" (76.2mm"").  Material selection may affect belt width — please contact your local partner for actual dimensions.",0.33,Snap Fit,0.19,Closed hinge,1.2,,,"106_208 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/106_208_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
106 V,106 V Vacuum,Vacuum,Straight,"0.8"" RS Straight 106","0.8""","Standard range of belt widths in increments of 0.75"" (19.1mm) starting from 3"" (76.2mm"").  Material selection may affect belt width — please contact your local partner for actual dimensions.",0.33,Snap Fit,0.19,Closed hinge,1.2,,,"106_208 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/106_208_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
106 RT,106 RT Rough Top,Rough Top,Straight,"0.8"" RS Straight 106","0.8""","Standard range of belt widths in increments of 0.75"" (19.1mm) starting from 3"" (76.2mm"").  Material selection may affect belt width — please contact your local partner for actual dimensions.",0.39,Snap Fit,0.19,Closed hinge,1.2,,,"106_208 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/106_208_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
208 35 FG,208 35 Flush Grid 35%,Flush Grid 35%,Straight,"1.0"" RS Straight 208","1.0""","Standard range of belt widths in increments of 1"" (25.4mm) starting from 3"" (76.2mm) Non standard widths are offered in increments of 0.5"" (12.7mm) starting from 3"" (76.2mm) upon request. Material selection may affect belt width — please contact your local partner for actual dimensions.",0.33,Snap Fit,0.19,Closed hinge,1.6,,,"106_208 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/106_208_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
208 FT,208 FT Flat Top,Flat Top,Straight,"1.0"" RS Straight 208","1.0""","Standard range of belt widths in increments of 1"" (25.4mm) starting from 3"" (76.2mm) Non standard widths are offered in increments of 0.5"" (12.7mm) starting from 3"" (76.2mm) upon request. Material selection may affect belt width — please contact your local partner for actual dimensions.",0.33,Snap Fit,0.19,Closed hinge,1.6,,,"106_208 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/106_208_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
